Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 126",4.447008434953e-02,2.133645667763e-01,8.951993622922e-02,1.238446305471e-01,-1.716234715892e-02
"                 127",4.479450368482e-02,2.138071320361e-01,8.960760451470e-02,1.241995275214e-01,-1.729596150336e-02
"                 128",4.503034980491e-02,2.140609674971e-01,8.961755078676e-02,1.244434167104e-01,-1.741293296180e-02
"                 129",4.522783719025e-02,2.139596385801e-01,8.949402219289e-02,1.244656163872e-01,-1.748579709717e-02
"                 130",4.541377611456e-02,2.135772613473e-01,8.925925227129e-02,1.243180090761e-01,-1.752937840238e-02
"                 131",4.545833314017e-02,2.133432893672e-01,8.909317268927e-02,1.242501166779e-01,-1.757847199433e-02
"                 132",4.553407023268e-02,2.130358842943e-01,8.889154851862e-02,1.241443357757e-01,-1.762639362854e-02
"                 133",4.546493489824e-02,2.128014781770e-01,8.873946804000e-02,1.240620101370e-01,-1.766127104851e-02
"                 134",4.554587298956e-02,2.123386861411e-01,8.850450348925e-02,1.238341826518e-01,-1.766483958129e-02
"                 135",4.541556094518e-02,2.115636335913e-01,8.815659684564e-02,1.234070367456e-01,-1.762521995000e-02
"                 136",4.515258697761e-02,2.104462200998e-01,8.767489083241e-02,1.227713292674e-01,-1.754821921749e-02
"                 137",4.489367479053e-02,2.091271234095e-01,8.712743456647e-02,1.219996888430e-01,-1.743612713827e-02
"                 138",4.451818822003e-02,2.075860481684e-01,8.648687976756e-02,1.210991684009e-01,-1.730614431666e-02
"                 139",4.412661659562e-02,2.059461142674e-01,8.582995068111e-02,1.201161635863e-01,-1.714310645258e-02
"                 140",4.357788080704e-02,2.040900635799e-01,8.509074760468e-02,1.189993159753e-01,-1.695428418529e-02
"                 141",4.299840280576e-02,2.020194983356e-01,8.427799231147e-02,1.177415060242e-01,-1.673175685634e-02
"                 142",4.240031678057e-02,1.998672676386e-01,8.344160149369e-02,1.164256661449e-01,-1.649203232563e-02
"                 143",4.182448973082e-02,1.976354524504e-01,8.256721038383e-02,1.150682420665e-01,-1.625051584135e-02
"                 144",4.123511910498e-02,1.955479554338e-01,8.176051888777e-02,1.137874365461e-01,-1.601345882915e-02
"                 145",4.060312286829e-02,1.933419132941e-01,8.089805676248e-02,1.124438565316e-01,-1.577289988458e-02
